DT,distance(Km),heart,pace,start_lat,start_lng
2022-01-16 14:34:15,5.08,120,3:36,31.905080499127507,118.8053097948432
2022-01-17 17:26:35,3.50,120,8:00,,
2022-01-19 17:27:04,2.70,120,9:38,,
2022-01-22 16:03:47,2.30,120,8:43,,
2022-01-24 17:19:18,2.80,120,8:34,,
2022-01-26 17:30:00,0.80,120,8:45,,
2022-02-03 14:25:42,2.50,120,8:00,,
2022-02-08 17:40:00,3.00,120,8:00,,
2022-02-11 17:24:04,2.00,120,9:30,,
2022-02-13 14:56:59,2.60,120,9:14,,
2022-02-17 17:20:31,3.50,120,8:34,,
2022-02-26 13:36:54,2.10,120,9:03,,
2022-02-28 17:18:27,3.50,120,8:17,,
2022-03-04 17:41:30,1.70,120,7:39,,
2022-03-13 19:12:29,1.37,120,5:14,31.895695868879557,118.80836533382535
2022-03-15 17:18:34,1.90,120,7:54,,
2022-03-19 18:17:43,3.10,120,8:23,,
2022-03-22 17:17:29,3.00,120,9:20,,
2022-03-29 17:24:50,3.00,120,8:20,,
2022-04-02 21:17:56,2.13,120,4:17,31.895714728161693,118.8089550845325
2022-04-04 09:30:00,2.00,120,9:00,,
2022-04-05 10:00:00,2.00,120,9:00,,
2022-04-08 19:37:13,4.28,120,4:31,31.896296767517924,118.80992453545332
2022-04-09 19:26:50,1.98,120,4:33,31.895873984321952,118.80947979167104
2022-04-10 19:28:27,2.00,120,8:00,,
2022-04-16 16:22:38,2.20,120,9:05,,
2022-04-20 20:40:19,2.72,120,4:24,31.8960234336555,118.80926513113081
2022-04-21 21:23:34,2.15,120,6:03,31.896079927682877,118.80959395319223
2022-04-23 19:22:27,2.13,120,4:54,31.895904829725623,118.80947828292847
2022-04-28 17:20:00,3.00,120,8:00,,
2022-04-30 19:58:03,2.10,120,8:06,,
2022-05-01 20:50:18,3.10,120,8:45,31.89574976451695,118.80839458666742
2022-05-03 19:17:08,2.40,120,2:12,31.896080430597067,118.80935674533248
